source	target
366	354
366	425
366	657
366	456
366	376
366	656
570	647
570	603
275	312
275	399
399	433
399	586
399	465
399	474
283	354
410	499
410	479
106	109
106	34
106	119
109	128
396	627
396	501
396	672
396	580
396	562
396	516
396	567
396	573
296	433
296	371
296	322
296	415
296	463
296	320
296	517
296	496
433	456
433	501
433	613
433	497
433	476
433	556
341	590
341	463
249	246
249	348
246	475
246	234
246	348
246	483
8	106
201	294
201	310
201	475
201	349
201	241
201	231
201	483
294	310
294	376
294	349
294	417
439	577
439	604
439	642
577	673
616	627
616	567
237	296
237	432
91	275
91	160
91	154
91	157
102	658
102	455
102	311
102	515
102	154
102	108
102	398
102	213
102	415
102	335
102	414
102	344
102	247
102	397
233	312
233	310
233	489
233	293
233	295
233	615
233	373
233	325
233	386
233	377
233	315
233	400
233	401
233	273
233	471
233	531
233	678
233	634
233	612
233	382
229	529
229	355
229	334
229	489
229	384
229	383
229	386
229	475
229	415
229	463
229	406
229	411
229	314
229	317
529	619
529	620
88	101
88	103
88	95
101	191
101	128
163	194
163	200
163	199
194	206
455	604
455	658
455	515
455	484
455	495
455	463
455	636
455	671
455	634
455	648
455	554
455	643
105	233
105	455
105	473
105	310
105	220
105	270
105	108
105	185
105	34
105	232
105	130
105	111
105	182
105	135
105	380
105	119
473	685
473	625
355	493
355	539
355	565
355	415
355	620
493	651
493	649
175	201
175	500
175	381
175	270
175	209
175	359
175	601
175	451
175	429
175	546
175	391
175	618
175	663
175	299
500	641
311	410
311	499
311	535
311	347
311	489
311	362
311	501
311	270
311	315
311	557
311	507
311	567
311	453
311	436
311	422
311	549
310	577
472	576
472	526
472	580
472	507
334	577
334	355
334	384
334	383
334	463
334	400
334	406
334	401
117	502
117	511
117	160
117	209
117	428
117	504
117	115
117	407
117	681
152	194
152	175
152	472
152	563
511	622
511	504
511	578
622	665
622	610
376	577
376	565
376	673
14	8
347	396
347	566
347	454
347	580
347	392
347	394
347	507
566	653
566	663
288	396
288	407
243	366
243	455
243	473
243	337
243	388
243	270
243	386
243	329
243	638
243	486
243	307
243	458
243	422
243	491
243	550
337	458
337	550
13	10
13	7
204	233
204	310
204	238
204	224
204	241
220	233
220	311
220	459
220	270
220	315
464	609
464	580
464	557
464	571
464	414
464	532
489	579
489	418
83	84
83	213
