name	year	inf
http://dbpedia.org/resource/Seneca_the_Younger	-004	0
http://dbpedia.org/resource/Lucretius	-099	3
http://dbpedia.org/resource/Philodemus	-110	0
http://dbpedia.org/resource/Posidonius	-135	1
http://dbpedia.org/resource/Zeno_of_Sidon	-150	1
http://dbpedia.org/resource/Chrysippus	-279	0
http://dbpedia.org/resource/Cleanthes	-330	1
http://dbpedia.org/resource/Zeno_of_Citium	-334	6
http://dbpedia.org/resource/Strato_of_Lampsacus	-335	1
http://dbpedia.org/resource/Epicurus	-341	14
http://dbpedia.org/resource/Hipparchia_of_Maroneia	-350	0
http://dbpedia.org/resource/Stilpo	-360	2
http://dbpedia.org/resource/Pyrrho	-360	6
http://dbpedia.org/resource/Crates_of_Thebes	-365	2
http://dbpedia.org/resource/Theophrastus	-371	1
http://dbpedia.org/resource/Mencius	-372	0
http://dbpedia.org/resource/Speusippus	-408	1
http://dbpedia.org/resource/Diogenes_of_Sinope	-412	3
http://dbpedia.org/resource/Euclid_of_Megara	-435	1
http://dbpedia.org/resource/Aristippus	-435	2
http://dbpedia.org/resource/Antisthenes	-445	2
http://dbpedia.org/resource/Democritus	-460	1
http://dbpedia.org/resource/Gorgias	-487	2
http://dbpedia.org/resource/Zeno_of_Elea	-490	4
http://dbpedia.org/resource/Empedocles	-490	4
http://dbpedia.org/resource/Heraclitus	-535	10
http://dbpedia.org/resource/Confucius	-551	2
http://dbpedia.org/resource/Pythagoras	-570	0
http://dbpedia.org/resource/Pherecydes_of_Syros	-580	1
http://dbpedia.org/resource/Anaximenes_of_Miletus	-585	0
http://dbpedia.org/resource/Anaximander	-611	3
http://dbpedia.org/resource/Thales	-624	1
http://dbpedia.org/resource/Aenesidemus	0001	1
http://dbpedia.org/resource/Leucippus	0005	1
http://dbpedia.org/resource/David_Hume	0007	15
http://dbpedia.org/resource/Dean_Zimmerman	0012	0
http://dbpedia.org/resource/Epictetus	0055	1
http://dbpedia.org/resource/Sextus_Empiricus	0160	5
http://dbpedia.org/resource/Panaetius	0185	1
http://dbpedia.org/resource/Plotinus	0204	9
http://dbpedia.org/resource/Carneades	0214	1
http://dbpedia.org/resource/Porphyry_(philosopher)	0234	1
http://dbpedia.org/resource/Iamblichus	0245	1
http://dbpedia.org/resource/Arcesilaus	0316	1
http://dbpedia.org/resource/Metrodorus_of_Lampsacus_(the_younger)	0331	0
http://dbpedia.org/resource/Aristotle	0384	0
http://dbpedia.org/resource/Xenocrates	0396	0
http://dbpedia.org/resource/Proclus	0412	0
http://dbpedia.org/resource/Plato	0428	0
http://dbpedia.org/resource/Socrates	0469	4
http://dbpedia.org/resource/Boethius	0480	1
http://dbpedia.org/resource/Protagoras	0490	3
http://dbpedia.org/resource/Parmenides	0515	7
http://dbpedia.org/resource/Al-Jahiz	0776	1
http://dbpedia.org/resource/Al-Kindi	0801	1
http://dbpedia.org/resource/Bayazid_Bastami	0804	1
http://dbpedia.org/resource/John_Scotus_Eriugena	0815	2
http://dbpedia.org/resource/Abu_Zayd_al-Balkhi	0850	0
http://dbpedia.org/resource/Zhou_Dunyi	1017	2
http://dbpedia.org/resource/Cheng_Yi_(philosopher)	1033	1
http://dbpedia.org/resource/Peter_Abelard	1079	1
http://dbpedia.org/resource/Ibn_Ma%E1%B8%8D%C4%81%CA%BE	1116	0
http://dbpedia.org/resource/Averroes	1126	1
http://dbpedia.org/resource/Zhu_Xi	1130	0
http://dbpedia.org/resource/Maimonides	1135	4
http://dbpedia.org/resource/Ibn_Arabi	1165	3
http://dbpedia.org/resource/Albertus_Magnus__Albert_the_Great__1	1200	2
http://dbpedia.org/resource/Bonaventure__Bonaventure__1	1221	1
http://dbpedia.org/resource/Meister_Eckhart	1260	1
http://dbpedia.org/resource/Duns_Scotus	1266	6
http://dbpedia.org/resource/William_of_Ockham	1285	2
http://dbpedia.org/resource/John_Wycliffe	1320	1
http://dbpedia.org/resource/Gemistus_Pletho	1355	0
http://dbpedia.org/resource/Jan_Hus	1369	0
http://dbpedia.org/resource/Nicholas_of_Cusa	1401	3
http://dbpedia.org/resource/Giovanni_Pico_della_Mirandola	1463	1
http://dbpedia.org/resource/Desiderius_Erasmus	1466	0
http://dbpedia.org/resource/Guillaume_Bud%C3%A9	1467	1
http://dbpedia.org/resource/John_Colet	1467	1
http://dbpedia.org/resource/Guillaume_Budé	1467	1
http://dbpedia.org/resource/Niccol%C3%B2_Machiavelli	1469	12
http://dbpedia.org/resource/Niccolò_Machiavelli	1469	11
http://dbpedia.org/resource/Jean_Bodin	1530	1
http://dbpedia.org/resource/Michel_de_Montaigne	1533	10
http://dbpedia.org/resource/Pierre_Charron	1541	0
http://dbpedia.org/resource/Giordano_Bruno	1548	3
http://dbpedia.org/resource/Francisco_Su%C3%A1rez	1548	4
http://dbpedia.org/resource/Francisco_Suárez	1548	3
http://dbpedia.org/resource/Francis_Bacon	1561	3
